Movie Name,Rating,Runtime,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_War,Genre_Western
The Shawshank Redemption,9.3,142,82.0,2752419,28341469,tt0111161,1,7.192039,8.4,1994,36777789.04,41693462.72,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Godfather,9.2,175,100.0,1914751,132142175,tt0068646,1,5.738034,8.3,1972,31287365.59,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Dark Knight,9.0,152,84.0,2725188,132142175,tt0468569,1,8.466668,8.1,2008,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Schindler's List,9.0,195,95.0,1387831,96898818,tt0108052,1,2.377288,8.1,1993,33208339.16,165524556.362,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Godfather Part II,9.0,202,90.0,1303858,57300000,tt0071562,1,3.264571,8.1,1974,57489690.55,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Lord of the Rings: The Return of the King,9.0,201,94.0,1890885,132142175,tt0167260,1,7.122455,7.9,2003,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pulp Fiction,8.9,154,95.0,2114233,107928762,tt0110912,1,8.093754,8.1,1994,11768892.49,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Inception,8.8,148,74.0,2418751,132142175,tt1375666,1,9.363643,7.9,2010,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fight Club,8.8,139,66.0,2191729,37030102,tt0137523,1,8.947905,8.1,1999,78760466.20075,132022892.5,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Lord of the Rings: The Fellowship of the Ring,8.8,178,92.0,1919503,132142175,tt0120737,1,8.575419,7.8,2001,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Forrest Gump,8.8,142,82.0,2141162,132142175,tt0109830,1,6.715966,8.1,1994,78760466.20075,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Lord of the Rings: The Two Towers,8.8,179,87.0,1706611,132142175,tt0167261,1,8.095275,7.8,2002,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kill Bill: The Whole Bloody Affair,8.8,247,52.75206611570248,14223,14223,tt6019206,0,0.146477,8.1,2011,29081941.28,24908912.3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Interstellar,8.7,169,74.0,1918106,132142175,tt0816692,1,24.949134,8.0,2014,78760466.20075,165524556.362,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Goodfellas,8.7,145,92.0,1194665,46836394,tt0099685,1,2.659926,8.0,1990,41722463.51,78165189.58,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Matrix,8.7,136,73.0,1962091,132142175,tt0133093,1,7.753899,7.8,1999,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
One Flew Over the Cuckoo's Nest,8.7,133,84.0,1030520,112000000,tt0073486,1,3.258151,8.0,1975,12155463.52,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Star Wars: Episode V - The Empire Strikes Back,8.7,124,82.0,1323924,132142175,tt0080684,1,5.488441,8.0,1980,47628661.55,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Green Mile,8.6,189,61.0,1338350,132142175,tt0120689,1,2.719461,8.0,1999,78543170.8,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Se7en,8.6,127,65.0,1701812,100125643,tt0114369,1,4.765359,7.9,1995,47221906.61,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Terminator 2: Judgment Day,8.6,137,75.0,1125509,132142175,tt0103064,1,3.584406,7.5,1991,78760466.20075,165524556.362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Saving Private Ryan,8.6,169,91.0,1426418,132142175,tt0120815,1,2.170136,7.7,1998,78760466.20075,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Silence of the Lambs,8.6,118,86.0,1470648,130742922,tt0102926,1,0.695385,7.9,1991,30420764.0,165524556.362,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Star Wars: Episode IV - A New Hope,8.6,121,90.0,1396236,132142175,tt0076759,1,12.037933,7.9,1977,39575591.36,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
