Movie Name,Rating,Runtime,Genre,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company
The Shawshank Redemption,9.3,142,Drama,82.0,2752419,28341469,tt0111161,1,7.192039,8.4,1994,36777789.04,41693462.72,0
The Godfather,9.2,175,Crime,100.0,1914751,132142175,tt0068646,1,5.738034,8.3,1972,31287365.59,165524556.362,1
The Dark Knight,9.0,152,Action,84.0,2725188,132142175,tt0468569,1,8.466668,8.1,2008,78760466.20075,165524556.362,1
Schindler's List,9.0,195,Biography,95.0,1387831,96898818,tt0108052,1,2.377288,8.1,1993,33208339.16,165524556.362,1
The Godfather Part II,9.0,202,Crime,90.0,1303858,57300000,tt0071562,1,3.264571,8.1,1974,57489690.55,165524556.362,1
The Lord of the Rings: The Return of the King,9.0,201,Action,94.0,1890885,132142175,tt0167260,1,7.122455,7.9,2003,78760466.20075,165524556.362,1
Pulp Fiction,8.9,154,Crime,95.0,2114233,107928762,tt0110912,1,8.093754,8.1,1994,11768892.49,165524556.362,1
Inception,8.8,148,Action,74.0,2418751,132142175,tt1375666,1,9.363643,7.9,2010,78760466.20075,165524556.362,1
Fight Club,8.8,139,Drama,66.0,2191729,37030102,tt0137523,1,8.947905,8.1,1999,78760466.20075,132022892.5,0
The Lord of the Rings: The Fellowship of the Ring,8.8,178,Action,92.0,1919503,132142175,tt0120737,1,8.575419,7.8,2001,78760466.20075,165524556.362,1
Forrest Gump,8.8,142,Drama,82.0,2141162,132142175,tt0109830,1,6.715966,8.1,1994,78760466.20075,165524556.362,1
The Lord of the Rings: The Two Towers,8.8,179,Action,87.0,1706611,132142175,tt0167261,1,8.095275,7.8,2002,78760466.20075,165524556.362,1
Kill Bill: The Whole Bloody Affair,8.8,247,Action,52.75206611570248,14223,14223,tt6019206,0,0.146477,8.1,2011,29081941.28,24908912.3,1
Interstellar,8.7,169,Adventure,74.0,1918106,132142175,tt0816692,1,24.949134,8.0,2014,78760466.20075,165524556.362,1
Goodfellas,8.7,145,Biography,92.0,1194665,46836394,tt0099685,1,2.659926,8.0,1990,41722463.51,78165189.58,1
The Matrix,8.7,136,Action,73.0,1962091,132142175,tt0133093,1,7.753899,7.8,1999,78760466.20075,165524556.362,1
One Flew Over the Cuckoo's Nest,8.7,133,Drama,84.0,1030520,112000000,tt0073486,1,3.258151,8.0,1975,12155463.52,165524556.362,1
Star Wars: Episode V - The Empire Strikes Back,8.7,124,Action,82.0,1323924,132142175,tt0080684,1,5.488441,8.0,1980,47628661.55,165524556.362,1
The Green Mile,8.6,189,Crime,61.0,1338350,132142175,tt0120689,1,2.719461,8.0,1999,78543170.8,165524556.362,1
Se7en,8.6,127,Crime,65.0,1701812,100125643,tt0114369,1,4.765359,7.9,1995,47221906.61,165524556.362,1
Terminator 2: Judgment Day,8.6,137,Action,75.0,1125509,132142175,tt0103064,1,3.584406,7.5,1991,78760466.20075,165524556.362,0
Saving Private Ryan,8.6,169,Drama,91.0,1426418,132142175,tt0120815,1,2.170136,7.7,1998,78760466.20075,165524556.362,1
The Silence of the Lambs,8.6,118,Crime,86.0,1470648,130742922,tt0102926,1,0.695385,7.9,1991,30420764.0,165524556.362,0
Star Wars: Episode IV - A New Hope,8.6,121,Action,90.0,1396236,132142175,tt0076759,1,12.037933,7.9,1977,39575591.36,165524556.362,1
Back to the Future,8.5,116,Adventure,87.0,1241994,132142175,tt0088763,1,6.095293,7.8,1985,38516154.99,165524556.362,1
The Departed,8.5,151,Crime,85.0,1359159,132142175,tt0407887,1,2.81975,7.7,2006,78760466.20075,165524556.362,1
Whiplash,8.5,106,Drama,89.0,908045,13092000,tt2582802,1,4.780419,8.2,2014,3039600.468,12888912.73,0
Gladiator,8.5,155,Action,67.0,1539199,132142175,tt0172495,1,4.271452,7.7,2000,78760466.20075,165524556.362,1
The Prestige,8.5,130,Drama,66.0,1367431,53089891,tt0482571,1,2.582095,7.8,2006,43266766.33,118633483.0,1
Alien,8.5,117,Horror,89.0,905236,78900000,tt0078748,1,4.935897,7.6,1979,33050094.03,165524556.362,0
American History X,8.5,119,Crime,62.0,1145090,6719864,tt0120586,1,1.333006,8.0,1998,26753909.38,31937649.21,1
The Lion King,8.5,88,Animation,88.0,1088037,132142175,tt0110357,1,4.782688,7.7,1994,66200020.27,165524556.362,1
The Usual Suspects,8.5,106,Crime,77.0,1106124,23341568,tt0114814,1,3.440238,8.0,1995,8585801.203,33401010.43,0
The Pianist,8.5,150,Biography,85.0,858266,32572577,tt0253474,1,2.364204,7.9,2002,42429148.78,145559349.5,0
Psycho,8.5,109,Horror,97.0,689042,32000000,tt0054215,1,2.610362,8.0,1960,5949601.344,165524556.362,0
Indiana Jones and the Raiders of the Lost Ark,8.4,115,Action,85.0,989947,132142175,tt0082971,1,4.5783,7.5,1981,43167434.49,165524556.362,1
Django Unchained,8.4,165,Drama,81.0,1603393,132142175,tt1853728,1,5.944518,7.7,2012,78760466.20075,165524556.362,1
The Shining,8.4,146,Drama,66.0,1051533,44017374,tt0081505,1,2.432001,7.9,1980,50274698.31,116471589.4,1
Apocalypse Now,8.4,147,Drama,94.0,683343,83471511,tt0078788,1,2.31952,7.8,1979,78760466.20075,165524556.362,0
The Dark Knight Rises,8.4,164,Action,78.0,1745295,132142175,tt1345836,1,6.591277,7.5,2012,78760466.20075,165524556.362,1
Memento,8.4,113,Mystery,81.0,1265891,25544867,tt0209144,1,3.095625,7.9,2000,11396629.03,50301043.22,0
Aliens,8.4,137,Action,84.0,733778,85160248,tt0090605,1,2.485419,7.6,1986,36804018.6,165524556.362,1
WALL·E,8.4,98,Animation,95.0,1145840,132142175,tt0910970,1,5.678119,7.6,2008,78760466.20075,165524556.362,1
Amadeus,8.4,160,Biography,88.0,410357,51973029,tt0086879,1,1.682283,7.5,1984,37782756.71,109093572.8,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95,Comedy,97.0,501156,275902,tt0057012,1,2.210475,7.7,1964,12654481.34,66367636.59,1
3 Idiots,8.4,170,Comedy,67.0,411640,6532908,tt1187043,1,0.816681,7.8,2009,9147603.907,71148030.39,0
Heat,8.3,170,Action,76.0,678617,67436818,tt0113277,1,1.847583,7.5,1995,78760466.20075,165524556.362,1
Inglourious Basterds,8.3,153,Adventure,69.0,1495487,120540719,tt0361748,1,6.098027,7.7,2009,71148030.39,165524556.362,1
Scarface,8.3,170,Crime,65.0,868142,45598982,tt0086250,1,3.178818,7.8,1983,54732799.94,144242170.7,1
Eternal Sunshine of the Spotless Mind,8.3,108,Drama,89.0,1033105,34400301,tt0338013,1,3.863377,7.8,2004,23088908.0,83418061.16,0
Requiem for a Dream,8.3,102,Drama,71.0,863118,3635482,tt0180093,1,1.050687,7.7,2000,5698314.515,9358035.485,0
American Beauty,8.3,122,Drama,84.0,1175013,130096601,tt0169547,1,3.55572,7.7,1999,19635792.7,165524556.362,0
Good Will Hunting,8.3,126,Drama,70.0,1006200,132142175,tt0119217,1,2.202087,7.7,1997,13584603.21,165524556.362,1
Full Metal Jacket,8.3,116,Drama,78.0,760206,46357676,tt0093058,1,2.0267,7.7,1987,32624367.45,88964109.17,1
2001: A Space Odyssey,8.3,149,Adventure,84.0,686929,56954992,tt0062622,1,3.309196,7.7,1968,75227563.38,165524556.362,0
A Clockwork Orange,8.3,136,Crime,77.0,849296,6207725,tt0066921,1,3.072555,7.7,1971,11847428.81,143186947.6,1
Toy Story,8.3,81,Animation,96.0,1020749,132142175,tt0114709,1,4.282462,7.5,1995,42929006.01,165524556.362,1
Once Upon a Time in America,8.3,229,Crime,75.0,361066,5321508,tt0087843,1,1.689163,7.9,1984,62971261.18,71904401.14,1
